id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ENSE00001827825	0.415011755690459	0	0.830023511380919	Inf	Inf	0.251470319760162	1
ENSE00001422223	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001897712	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001805006	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00003814538	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00000653380	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001599219	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001686382	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00002141692	0.275589050400498	0	0.551178100800997	Inf	Inf	0.547258831108208	1
ENSE00001885570	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001785016	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001559524	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001926179	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001617592	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001664676	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001931568	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00003650226	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001889016	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00003706099	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001942408	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00000880346	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001740729	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001176238	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001953210	0.529280375159821	0	1.05856075031964	Inf	Inf	0.139648194220924	1
ENSE00001886701	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001562921	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00003790217	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001738229	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001929525	0.138608615245105	0	0.27721723049021	Inf	Inf	0.855588124311885	1
ENSE00001523580	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001669791	0.27721723049021	0	0.55443446098042	Inf	Inf	0.54899099077054	1
ENSE00001819124	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001731188	0.253691324759323	0	0.507382649518646	Inf	Inf	0.521803838632106	1
ENSE00002041527	0.275589050400498	0	0.551178100800997	Inf	Inf	0.547258831108208	1
ENSE00003847714	0.137794525200249	0	0.275589050400498	Inf	Inf	0.855565860567439	1
ENSE00001105074	0.126845662379661	0	0.253691324759323	Inf	Inf	0.855265968703531	1
ENSE00001707031	0.844464190140247	0.0775613490701421	1.61136703121035	20.7753868457487	4.37680343567346	0.108477950432436	1
ENSE00001743882	0.705855574895142	0.0775613490701421	1.33414980072014	17.2012196372914	4.10443895645952	0.209338262001451	1
ENSE00001846765	1.25520481612728	0.159866352407421	2.35054327984714	14.703177025374	3.8780560175356	0.159043597379613	1
ENSE00003709208	0.581824006171976	0.0799331762037106	1.08371483614024	13.5577602143368	3.7610469551782	0.277686759875112	1
ENSE00001620051	0.568726416963443	0.0788920836072438	1.05856075031964	13.4178323339713	3.74607971622991	0.277628422183991	1
ENSE00002059427	1.10460624546512	0.157784167214488	2.05142832371576	13.0014839887395	3.70060439668009	0.386190494221995	1
ENSE00003709376	0.454606520270386	0.0775613490701421	0.83165169147063	10.7225016253718	3.42256962955197	0.62265307832793	1
ENSE00000657377	0.454978343792315	0.0799331762037106	0.830023511380919	10.3839675939512	3.37628588101435	0.441619570668913	1
ENSE00001955343	0.431452438061427	0.0799331762037106	0.782971699919144	9.79532826174369	3.29209384100274	0.440271982845081	1
ENSE00001852523	1.0871972545885	0.238758436014665	1.93563607316234	8.10708976600703	3.01918411744504	0.291617559800851	1
ENSE00001891533	0.31436972493557	0.0775613490701421	0.551178100800997	7.10635010103476	2.82910876615079	0.719723284219343	1
ENSE00003711210	0.31436972493557	0.0775613490701421	0.551178100800997	7.10635010103476	2.82910876615079	0.719723284219343	1
ENSE00001831570	0.317183818592065	0.0799331762037106	0.55443446098042	6.93622457297878	2.79415060921111	0.721343527086068	1
ENSE00001905490	0.31636972854721	0.0799331762037106	0.552806280890709	6.91585530746177	2.78990768543609	0.692808778694855	1
ENSE00001824201	0.315555638502354	0.0799331762037106	0.551178100800997	6.89548604194475	2.78565224653109	0.719255154697606	1
ENSE00001640618	0.619935411632509	0.157784167214488	1.08208665605053	6.85801798211839	2.77779168710805	0.403780253080139	1
ENSE00001816592	0.609135271588226	0.156453432677386	1.06181711049907	6.78679331177464	2.76273007727399	0.40250262258283	1
ENSE00001645826	0.620976504228976	0.159866352407421	1.08208665605053	6.7686954744099	2.75887781106035	0.403902096831219	1
ENSE00001824615	0.304900319428388	0.0788920836072438	0.530908555249533	6.72955423376327	2.75051094376006	0.690039967000522	1
ENSE00001625491	2.98534579930416	0.790423737384102	5.18026786122421	6.5537857938936	2.71232852012851	0.192600411494268	1
ENSE00001908760	0.292471999294394	0.0775613490701421	0.507382649518646	6.54169448573925	2.70966438335815	0.68928748618739	1
ENSE00001631112	0.292471999294394	0.0775613490701421	0.507382649518646	6.54169448573925	2.70966438335815	0.68928748618739	1
ENSE00003757632	0.293137366562945	0.0788920836072438	0.507382649518646	6.4313506034978	2.68512173978615	0.68899690856539	1
ENSE00001680522	0.293657912861178	0.0799331762037106	0.507382649518646	6.34758524077131	2.66620786373845	0.688772695386628	1
ENSE00001557857	1.12516383907872	0.316319785084807	1.93400789307262	6.1140908165264	2.61213798166211	0.345744780815736	1
ENSE00002123935	1.1055596607958	0.317650519621909	1.8934688019697	5.96085535834616	2.5755193663756	0.428254881622322	1
ENSE00003710600	1.10474557075095	0.317650519621909	1.89184062187998	5.95572966205688	2.57427826969211	0.253263376043853	1
ENSE00001894347	1.88986505277526	0.555367863040107	3.22436224251042	5.80581351045435	2.53749823165047	0.128680541240445	1
ENSE00001535313	1.26704116951694	0.390178572484279	2.1439037665496	5.4946732540931	2.45803369250932	0.231164531815241	1
ENSE00001872918	0.494717929342559	0.157784167214488	0.83165169147063	5.27081839802155	2.39802698597996	0.720021856945784	1
ENSE00001887772	0.482289609208565	0.156453432677386	0.808125785739743	5.16527999360765	2.3688465551776	0.589662165334242	1
ENSE00001712392	0.470898479865049	0.158825259810954	0.782971699919144	4.92976810395963	2.30151978389811	0.586797804272362	1
ENSE00001830167	0.458098336209127	0.155122698140284	0.761073974277969	4.90627086430444	2.2946268840793	0.689119038053615	1
ENSE00001386208	6.58246930136035	2.44612778305905	10.7188108196616	4.38195048267553	2.13157318154354	0.014873673445426	1
ENSE00001109302	0.850467158498379	0.319732704814842	1.38120161218192	4.31986340897398	2.11098569611298	0.487031305845978	1
ENSE00001844539	1.00158689189217	0.390178572484279	1.61299521130006	4.13399229237544	2.04753569893218	0.414175874561525	1
ENSE00000653900	0.453491824478988	0.177088684033634	0.729894964924342	4.12163526375134	2.04321684198072	0.441536600053099	1
ENSE00001837700	0.630067024214308	0.254650033103776	1.00548401532484	3.94849355827526	1.98130233669684	0.404956426761432	1
ENSE00001597219	1.14464623409119	0.468029563495056	1.82126290468732	3.89134158766995	1.96026762775543	0.457277912459089	1
ENSE00001717042	0.430780008792956	0.177088684033634	0.684471333552279	3.8651330958125	1.95051809419219	0.440232331774144	1
ENSE00001918826	0.177389289780176	0.0775613490701421	0.27721723049021	3.57416720845727	1.83760712883081	1	1
ENSE00001492787	2.65651833180898	1.16341706128061	4.14961960233734	3.56675154631971	1.83461072368911	0.14343130875289	1
ENSE00001843384	0.885318268811169	0.387806745350711	1.38282979227163	3.56577034528132	1.83421378866314	0.575531011813066	1
ENSE00001846858	0.353964489515496	0.155122698140284	0.552806280890709	3.56367112948733	1.83336420505579	0.849676376763438	1
ENSE00001493267	0.17657519973532	0.0775613490701421	0.275589050400498	3.55317505051738	1.82910876615079	1	1
ENSE00001780808	0.17657519973532	0.0775613490701421	0.275589050400498	3.55317505051738	1.82910876615079	1	1
ENSE00003758905	0.353150399470641	0.155122698140284	0.551178100800997	3.55317505051738	1.82910876615079	0.854283446669091	1
ENSE00003711706	0.532019146564223	0.234014781747528	0.830023511380919	3.54688496676423	1.82655254127678	0.718108317738951	1
ENSE00001920757	0.354629856784047	0.156453432677386	0.552806280890709	3.53335987220313	1.82104069499771	0.850026174818059	1
ENSE00001671837	0.530911512772745	0.235055874343995	0.826767151201495	3.51732180065219	1.81447733353211	0.792922860049648	1
ENSE00001815805	0.356109314097454	0.157784167214488	0.55443446098042	3.51387893201437	1.81306448525881	0.856584729204011	1
ENSE00001761610	0.178054657048727	0.0788920836072438	0.27721723049021	3.51387893201437	1.81306448525881	1	1
ENSE00001616624	0.178054657048727	0.0788920836072438	0.27721723049021	3.51387893201437	1.81306448525881	1	1
ENSE00000651221	0.177240567003871	0.0788920836072438	0.275589050400498	3.49324086523675	1.80456612257879	1	1
ENSE00001361736	0.177240567003871	0.0788920836072438	0.275589050400498	3.49324086523675	1.80456612257879	1	1
ENSE00001829579	0.177240567003871	0.0788920836072438	0.275589050400498	3.49324086523675	1.80456612257879	1	1
ENSE00001626119	0.177240567003871	0.0788920836072438	0.275589050400498	3.49324086523675	1.80456612257879	1	1
ENSE00001954876	0.711631540701663	0.317650519621909	1.10561256178142	3.48059421749852	1.79933362833145	0.624651976622711	1
ENSE00001944970	0.355815770350832	0.158825259810954	0.552806280890709	3.48059421749852	1.79933362833145	0.850647732721473	1
ENSE00003708348	0.17857520334696	0.0799331762037106	0.27721723049021	3.46811228648939	1.79415060921111	1	1
ENSE00001693364	0.17857520334696	0.0799331762037106	0.27721723049021	3.46811228648939	1.79415060921111	1	1
ENSE00000657375	0.17857520334696	0.0799331762037106	0.27721723049021	3.46811228648939	1.79415060921111	1	1
ENSE00003708999	0.518776736385373	0.232684047210426	0.80486942556032	3.45906578130146	1.79038244980654	0.712869170833645	1
ENSE00001927271	1.57623799743844	0.707829092106188	2.44464690277069	3.45372481865149	1.78815313828596	0.390343158479527	1
ENSE00001728103	0.177761113302105	0.0799331762037106	0.275589050400498	3.44774302097238	1.78565224653109	1	1
ENSE00003718435	1.99937430009914	0.900809373228932	3.09793922696935	3.43906193589533	1.7820150983609	0.211702943708301	1
ENSE00003762088	1.04584312915794	0.475434686836396	1.61625157147949	3.39952388041822	1.76533270416923	0.562827984326652	1
ENSE00003685120	0.34368099396346	0.156453432677386	0.530908555249533	3.39339665588732	1.76273007727399	0.844170351694406	1
ENSE00001911877	1.11139066040778	0.509300066207551	1.71348125460801	3.36438451180119	1.75034259904359	0.246836545437671	1
ENSE00001802165	0.852401237348407	0.392550399617848	1.31225207507897	3.34288813960311	1.74109508001069	0.542491569647227	1
ENSE00001191993	0.344573363783621	0.159866352407421	0.529280375159821	3.31076782067902	1.72716584018222	0.844655711232898	1
ENSE00001489135	0.676929769598577	0.315568334428975	1.03829120476818	3.29022620931527	1.71818677540078	0.621646646372605	1
ENSE00002121577	0.165626336914733	0.0775613490701421	0.253691324759323	3.27084724286963	1.70966438335815	1	1
ENSE00001949965	0.165626336914733	0.0775613490701421	0.253691324759323	3.27084724286963	1.70966438335815	1	1
ENSE00001823758	0.331252673829465	0.155122698140284	0.507382649518646	3.27084724286963	1.70966438335815	0.837254736356714	1
ENSE00001860832	0.165626336914733	0.0775613490701421	0.253691324759323	3.27084724286963	1.70966438335815	1	1
ENSE00001787197	0.166291704183283	0.0788920836072438	0.253691324759323	3.2156753017489	1.68512173978615	1	1
ENSE00001864634	0.332583408366567	0.157784167214488	0.507382649518646	3.2156753017489	1.68512173978615	0.838009428986579	1
ENSE00001351315	0.166291704183283	0.0788920836072438	0.253691324759323	3.2156753017489	1.68512173978615	1	1
ENSE00000880241	0.166291704183283	0.0788920836072438	0.253691324759323	3.2156753017489	1.68512173978615	1	1
ENSE00001404458	0.166291704183283	0.0788920836072438	0.253691324759323	3.2156753017489	1.68512173978615	1	1
ENSE00003795588	0.166812250481517	0.0799331762037106	0.253691324759323	3.17379262038566	1.66620786373845	1	1
ENSE00001551705	0.333624500963034	0.159866352407421	0.507382649518646	3.17379262038566	1.66620786373845	0.838597435836809	1
ENSE00001370916	3.48769133912227	1.73204180461033	5.2433408736342	3.02726000012097	1.59801258820695	0.12718353731456	1
ENSE00001836395	5.50401209429504	2.83207801454081	8.17594617404926	2.88690711628398	1.52952469086722	0.126897909795899	1
ENSE00001827597	14.3491452894146	7.43250935338828	21.2657812254409	2.86118458979758	1.51661257637307	0.151245612189014	1
ENSE00001282280	22.5123936129643	11.8030025974507	33.2217846284779	2.81468925844796	1.49297565763706	0.0659707993964479	1
ENSE00001863910	6.68576958517659	3.53313490703985	9.83840426331334	2.78461041601047	1.47747549984357	0.186510600377646	1
ENSE00001897791	0.965019099520511	0.514043720474688	1.41599447856633	2.75461876522633	1.46185266595593	0.337905104122268	1
ENSE00001821244	0.962870373132566	0.513002627878221	1.41273811838691	2.75386136759181	1.46145593444676	0.337619009543554	1
ENSE00000655754	0.725183751446817	0.390178572484279	1.06018893040935	2.71718901337687	1.44211492594887	0.709745923606607	1
ENSE00001342351	0.725035028670512	0.391509307021381	1.05856075031964	2.70379460037162	1.43498555832105	0.709685467977925	1
ENSE00001897979	0.939786733924606	0.510630800744653	1.36894266710456	2.68088541683782	1.42270955871156	0.397443113836563	1
ENSE00001911787	2.4796544582766	1.35688590339326	3.60242301315994	2.65491962452488	1.40866818530265	0.134732250757084	1
ENSE00001708803	0.571692190919456	0.314989050547705	0.828395331291207	2.6299178649251	1.39501774335195	0.827319429866402	1
ENSE00001296773	1.3578386415404	0.751761063892886	1.96391621918791	2.61242077239017	1.38538728484404	0.345972225545912	1
ENSE00001379047	15.2990137992225	8.47251578409796	22.1255118143471	2.61144533432141	1.38484850392888	0.125147631359869	1
ENSE00000879274	2.31982198779556	1.29289796413158	3.34674601145953	2.58856159132982	1.37215064558882	0.311448210573418	1
ENSE00003790031	0.315697299278739	0.177088684033634	0.454305914523844	2.56541470734268	1.35919206086775	0.692649653018953	1
ENSE00001933471	0.631394598557477	0.354177368067267	0.908611829047687	2.56541470734268	1.35919206086775	0.405108982679649	1
ENSE00003734362	0.315697299278739	0.177088684033634	0.454305914523844	2.56541470734268	1.35919206086775	0.692649653018953	1
ENSE00001940691	0.314883209233883	0.177088684033634	0.452677734434132	2.55622055640866	1.35401232059997	0.692456481657102	1
ENSE00001735714	1.08878143137206	0.615164679641208	1.56239818310292	2.53980476254615	1.34471759978002	0.491587499920302	1
ENSE00001626153	49.4889893436838	28.0566530363421	70.9213256510255	2.52778995267754	1.33787658739933	0.0155758495716378	1
ENSE00002197957	7.43686528249286	4.2630690499962	10.6106615149895	2.48897247277733	1.3155502746712	0.115988778259083	1
ENSE00001307363	3.4546404611054	1.99036764711007	4.91891327510072	2.47135913922374	1.30530467911182	0.230667379524219	1
ENSE00001300233	47.7165463720516	27.748841326607	67.6842514174961	2.43917396841349	1.28639265867399	0.0304825862483974	1
ENSE00001046457	3.93009471524389	2.29812056631948	5.56206886416831	2.42026852101853	1.2751671187606	0.156834401531925	1
ENSE00003723794	1.00142794692201	0.586861415277694	1.41599447856633	2.41282599554838	1.27072387725648	0.414145994585336	1
ENSE00002361297	1.861849603786	1.09297119361117	2.63072801396083	2.40695091447828	1.26720672088975	0.492427580411956	1
ENSE00001559618	3.15609304526394	1.86145569737663	4.45073039315124	2.3909945315506	1.25761083046198	0.437763703731699	1
ENSE00001493396	1.7889143768288	1.05622171330985	2.52160704034775	2.38738420974689	1.25543076285523	0.388709259477236	1
ENSE00001202354	8.12951176098083	4.80767554928587	11.4513479726758	2.38188868098156	1.252105989546	0.269124643298317	1
ENSE00001122832	4.11079610954319	2.43317696622105	5.78841525286532	2.37895366149848	1.25032717046946	0.329876752861602	1
ENSE00001402429	40.4607328205559	24.0857629015518	56.83570273956	2.3597219225262	1.23861685762535	0.0552435906158387	1
ENSE00001706774	7.57036879979181	4.51325791478126	10.6274796848024	2.3547246546661	1.2355583708478	0.257547605130543	1
ENSE00003809986	0.396075902199309	0.237717343418198	0.55443446098042	2.33232650595899	1.22176976776436	0.97552672665683	1
ENSE00001775696	0.396075902199309	0.237717343418198	0.55443446098042	2.33232650595899	1.22176976776436	0.97552672665683	1
ENSE00001883296	19.9546642544952	11.99094229107	27.9183862179204	2.32828959895104	1.21927051571428	0.0972697092634348	1
ENSE00001316540	0.396596448497543	0.238758436014665	0.55443446098042	2.32215652872833	1.21546522268107	0.975885770659362	1
ENSE00000657380	1.47781200904089	0.889951072347593	2.0656729457342	2.32110844058559	1.21481392597428	0.519455303102509	1
ENSE00000880242	0.775872199817649	0.468029563495056	1.08371483614024	2.31548372296719	1.21131361544063	0.801277868382195	1
ENSE00001840267	53.8458399314951	32.5109396335585	75.1807402294317	2.31247515688007	1.20943786671503	0.02952820168261	1
ENSE00001736507	9.4846043032667	5.74232037483972	13.2268882316937	2.30340478557205	1.20376796337643	0.0894827829339837	1
ENSE00001365955	69.8473551414608	42.4261645303146	97.268545752607	2.29265470563822	1.19701908846656	0.0719239122825431	1
ENSE00001825201	7.25505794275017	4.41498807821945	10.0951278072809	2.28655833910025	1.19317772844158	0.110118184376512	1
ENSE00001486858	127.258686899799	77.4875725735852	177.029801226012	2.28462184768916	1.19195538908567	0.0951290893961291	1
ENSE00001564868	0.836318254499526	0.511961535281755	1.1606749737173	2.26711362813327	1.18085670101967	0.461476557452721	1
ENSE00001227137	113.151157675358	69.9959433073452	156.30637204337	2.2330775850401	1.15903337637674	0.0353589639071499	1
ENSE00001857706	159.808736885595	99.0758955242184	220.541578246972	2.2259862207661	1.15444466217945	0.0303151444923653	1
ENSE00001875917	28.7397571096025	17.8306850446262	39.6488291745787	2.22362904595906	1.15291613239928	0.0460112802058269	1
ENSE00001926517	0.737259211991134	0.460041981500924	1.01447644248134	2.20518231656062	1.14089793756262	0.454147539138566	1
ENSE00001884687	4.47425293849463	2.79329681412796	6.15520906286131	2.2035642727724	1.13983897724058	0.194582535677231	1
ENSE00001916931	7.04693277027009	4.41766914357615	9.67619639696403	2.19033976571886	1.13115467818145	0.251443816587665	1
ENSE00001701490	44.0187445798304	27.6504521566744	60.3870370029863	2.18394392470757	1.12693581386541	0.0620815750292318	1
ENSE00001931328	67.7345551494616	42.7329401980365	92.7361701008868	2.17013314953573	1.11778356261526	0.0489277649029531	1
ENSE00001309276	131.753181496503	83.34721490161	180.159148091395	2.16154970869837	1.11206601396595	0.0852104229914645	1
ENSE00001923199	0.371364082901638	0.23534551628463	0.507382649518646	2.15590531542148	1.10829381817785	0.957805186082126	1
ENSE00001891364	0.372549996468422	0.237717343418198	0.507382649518646	2.13439474891845	1.0938270222917	0.958687133331885	1
ENSE00001122538	72.2016683955385	46.237333611179	98.166003179898	2.12308962288786	1.08616527362989	0.0440451568263037	1
ENSE00001311893	1.04495227572422	0.67391007288211	1.41599447856633	2.10116235911203	1.07118764494087	0.489938874658602	1
ENSE00001315626	26.6634409985753	17.1965138331578	36.1303681639928	2.10102864537155	1.07109583181284	0.0746272121271114	1
ENSE00001779322	0.668547093002837	0.431738717137409	0.905355468868264	2.09699856170212	1.06832587191332	0.519485173976475	1
ENSE00001351445	16.9927434010664	11.0043387191703	22.9811480829625	2.08837156592861	1.06237842102264	0.116600529217735	1
ENSE00001426758	93.4796869653412	60.7698937829916	126.189480147691	2.07651309377488	1.05416296892839	0.0659685423069309	1
ENSE00001318027	108.262909657899	70.4874539547074	146.038365361091	2.07183487511026	1.05090902505509	0.0502651766649278	1
ENSE00000880425	68.7163416202849	44.7673384904548	92.665344750115	2.06993196099592	1.04958334688063	0.0387596340816052	1
ENSE00001924900	59.3578320992333	38.7355320585329	79.9801321399337	2.06477432707202	1.04598410851849	0.0797653875474927	1
ENSE00001607497	2.41199598437118	1.57610382050107	3.2478881482413	2.06070698262044	1.04313937883455	0.616517356897719	1
ENSE00001827498	0.508341357863099	0.332211382173918	0.684471333552279	2.0603488329426	1.04288861748185	0.70863322141877	1
ENSE00002589161	3.85933086247263	2.52478372927508	5.19387799567019	2.05715758361666	1.04065231228504	0.168713727703649	1
ENSE00001343011	8.52773377146067	5.57975229554814	11.4757152473732	2.0566710921073	1.04031109297496	0.159499527969001	1
ENSE00000880315	10.6956817804966	7.01685797761773	14.3745055833756	2.0485672688869	1.03461526743189	0.19219403010175	1
